商品分类,商品id,商品名称,品牌名称,机型,店铺名称,商家名称,商品押金,租赁价格/天,买断价
手机,307562,全新国行苹果iPhone 14Pro全网通5G双卡震撼来袭！,苹果,iPhone14Pro,嗨乐租,呈贡区未来财运通信设备经营部,12499.00,17.53,10398.00
手机,307768,全新国行苹果iPhone13 包邮全网通5G双卡双待,苹果,iPhone13,人人租精选商城,厦门鸭母算数码有限公司,6299.00,8.65,6533.00
手机,307782,全新国行苹果iPhone13 包邮全网通5G 双卡双待,苹果,iPhone13,租机厅,深圳市深有情科技有限公司,6299.00,8.49,6533.00
手机,309555,iPhone13 原封未激活 5G全网通手机,苹果,iPhone13,致信商贸,龙岩致信商贸有限公司,6299.00,8.57,6478.00
手机,327057,全新国行苹果iPhone13 包邮全网通5G 双卡双待,苹果,iPhone13,租机殿,东莞市腾奕电子科技有限公司,6299.00,8.72,6533.00
手机,327551,全新国行苹果iPhone 14全网通双卡双待5G新款6.1寸,苹果,iPhone14,日盛通讯,龙岩市新罗区日盛日用百货店,6899.00,9.17,7679.00
手机,331310,全新国行原封iphone14 赠送壳膜  现货顺丰  包邮 ,苹果,iPhone14,哆来咪,龙岩市永定区百胜通讯店,6899.00,8.95,7139.00
手机,332074,线下半年租 全新苹果iPhone 14 全网通5G,苹果,iPhone14,一林租机,汕头市易享租科技有限公司,4829.30,40.50,7291.20
手机,333796,全新国行iPhone14Plus 赠送壳膜 现货顺丰包邮速发,苹果,iPhone14Plus,商家精选,广州研趣信息科技有限公司,7899.00,11.05,8399.00
手机,334564,全新国行iPhone14Pro 赠送壳膜 顺丰包邮寄出,苹果,iPhone14Pro,商家精选,广州研趣信息科技有限公司,8899.00,14.05,9999.00
手机,335211,全新国行iphone14pro原装未拆封 顺丰包邮,苹果,iPhone14Pro,正凯电讯,嵩明县正凯电讯店,8899.00,11.83,9919.00
手机,336277,全新苹果14,苹果,iPhone14,你会租,长兴灵风贸易商行,8699.00,8.98,7379.00
手机,353210,全新国行苹果iPhone13 包邮全网通5G 双卡双待,苹果,iPhone13,巧乐租,深圳市溢亿园电子商务有限公司,6299.00,8.72,6533.00
手机,314772,全新国行苹果14pro双卡双待包邮,苹果,iPhone14Pro,飞锐手机租赁,宁波镇海区飞锐通讯设备租赁工作室,8899.00,14.95,10398.00
手机,355361,全新国行苹果14pro 未拆封 非监管,苹果,iPhone14Pro,大山数码,杭州余杭双霸电子商务工作室,8500.00,28.48,10398.00
手机,332113,线下半年租 全新苹果iPhone 13 全网通5G,苹果,iPhone13,一林租机,汕头市易享租科技有限公司,4409.30,35.93,6468.00
手机,341459,苹果手机14pro全国联保正品官方未激活iphone未拆封,苹果,iPhone14Pro,元周租赁,双流区元周数码产品经营部,6229.30,28.48,10398.00
手机,340846,全新国行苹果iPhone 14Plus 双卡双待未拆封包邮,苹果,iPhone14Plus,余杭百脑汇数码,杭州余杭区瓶窑镇百脑汇电子商务商行,9000.00,24.92,9098.00
手机,311845,全新苹果iPhone13 超瓷晶面板 航空级铝金属边框,苹果,iPhone13,军添通讯,漳平市军添通讯设备经营部,6299.00,10.35,6478.80
手机,268687, 全新国行苹果iphone14plus全封未激活全网双卡双待,苹果,iPhone14Plus,华强通讯,广州享美述商贸有限公司,9699.00,11.94,8679.00
手机,242829, 全新国行 iPhone14 5G  顺丰包邮,苹果,iPhone14,租机堂,深圳市德震华科技有限公司,6899.00,9.84,7678.00
手机,267865,全新国行iPhone14Pro,苹果,iPhone14Pro,天易通讯设备店,东莞市樟木头天易通讯设备店,10699.00,28.21,10299.00
手机,332080,线下一年租 全新苹果iPhone 14 全网通5G,苹果,iPhone14,一林租机,汕头市易享租科技有限公司,4829.30,19.45,7101.60
手机,309825,全新国行原封iPhone14 包邮全网通5G 双卡双待,苹果,iPhone14,伟清通讯,漳平市伟清通讯设备经营部,6899.00,9.84,7798.00
手机,246372,全新未拆封国行苹果IPhone14 5G 双卡双待,苹果,iPhone14,裕文电讯店,永定区裕文电讯店,6899.00,20.21,7379.00
手机,243423,全新国行苹果iPhone14plus  顺丰包邮,苹果,iPhone14Plus,安康电讯,新罗区康瑞通讯设备经营部,7899.00,22.81,8329.00
手机,243682,全新国行原封iPhone14 包邮全网通5G 双卡双待,苹果,iPhone14,伟清通讯,漳平市伟清通讯设备经营部,6899.00,20.54,7499.00
手机,355213,苹果Apple iPhone 13 苹果性价比,苹果,iPhone13,洪创科技租赁,铜梁区洪创科技商行,6000.00,10.95,6500.00
手机,333742,全新国行iPhone14Pro 赠送壳膜 现货速发 顺丰包邮,苹果,iPhone14Pro,商家精选,广州研趣信息科技有限公司,8899.00,14.05,9999.00
手机,334007,全新国行iPhone14Pro 赠送壳膜 顺丰包邮寄出,苹果,iPhone14Pro,商家精选,广州研趣信息科技有限公司,8899.00,14.05,9999.00
手机,196634,苹果iPhone13 全新原封 全网通5G 双卡双待,苹果,iPhone13,玉林盛科技,深圳市玉林盛科技有限公司,6299.00,11.83,7018.70
手机,242776, 全新未拆封国行苹果IPhone14 pro 5G ,苹果,iPhone14Pro,万项租赁,三明市三元区万项贸易商行,12499.00,17.53,10398.00
手机,243894,全新国行苹果iPhone14 全网通5G 双卡双待,苹果,iPhone14,天天数码,揭阳市逸龙网络科技有限公司,6899.00,11.50,7799.00
手机,246081, iPhone14 ProMax 全新国行 5G,苹果,iPhone14ProMax,铭初电子手机店,泉山区铭初电子产品经营部,11699.00,19.72,11698.70
手机,247299,正品全新国行苹果IPhone14 Pro Max  ,苹果,iPhone14ProMax,裕文电讯店,永定区裕文电讯店,9899.00,19.09,11899.00
手机,250109,全新国行iPhone14pro,苹果,iPhone14Pro,点睛租赁,中山市点睛优选互联网销售工作室,10699.00,17.53,10798.00
手机,261778,iPhone 14 promax,苹果,iPhone14ProMax,万萌租机,海口龙华区佰佳锐优选百货商行,11699.00,33.28,12148.00
手机,265778, 全新国行苹果 iPhone13 全网通双卡双待包邮 热租,苹果,iPhone13,宝隆租赁,衢州宝昌租赁服务有限公司,7799.00,9.29,7079.00
手机,267858,全新国行iPhone14,苹果,iPhone14,天易通讯设备店,东莞市樟木头天易通讯设备店,8699.00,21.91,7999.00
手机,277553,苹果Apple iPhone 14 Pro Max全新国行,苹果,iPhone14ProMax,辰鹏数码,上海兴辰鹏科技有限公司,9449.00,18.49,11698.00
手机,277562,全新国行苹果Apple iPhone 14 Pro Max,苹果,iPhone14ProMax,辰鹏数码,上海兴辰鹏科技有限公司,9449.00,18.49,11698.00
手机,277614,全新国行苹果iPhone14全网通 5G 双卡双待 顺丰速发,苹果,iPhone14,嗨乐租,呈贡区未来财运通信设备经营部,8699.00,13.14,7798.00
手机,295222,全新国行未拆封苹果Apple iPhone14 Pro 顺丰,苹果,iPhone14Pro,雷雷租,淮北市相山区全民租电子商行,10699.00,28.48,10398.00
手机,297058,全新国行原封iphone14 赠送壳膜  现货顺丰  包邮,苹果,iPhone14,裕文电讯店,永定区裕文电讯店,6899.00,10.18,7679.00
手机,297111,全新苹果iPhone14Promax 全新发布 畅玩灵动岛,苹果,iPhone14ProMax,亚信通讯,漳平市环亚通讯设备经营部,9899.00,19.72,12148.00
手机,304274,全新国行苹果iPhone14Pro 包邮全网通5G 双卡双待,苹果,iPhone14Pro,安迅通讯,漳平市安迅通讯设备经营部,8899.00,29.58,10798.00
手机,304280,全新国行苹果iPhone14包邮全网通5G 双卡双待,苹果,iPhone14,安迅通讯,漳平市安迅通讯设备经营部,6899.00,21.36,7798.00
手机,308495,全新苹果iPhone14Pro 全新发布 告别刘海畅玩灵动岛,苹果,iPhone14Pro,亚信通讯,漳平市环亚通讯设备经营部,8899.00,17.53,10398.00
手机,308627,全新国行iphone14pro 赠送壳膜 顺丰包邮,苹果,iPhone14Pro,裕文电讯店,永定区裕文电讯店,8899.00,28.76,10499.00
手机,309110,全新国行未拆封苹果iPhone14ProMax全网通,苹果,iPhone14ProMax,时代通讯经营部,揭西县灰寨时代通讯设备经营部,11699.00,17.25,11698.00
手机,311894,全新苹果iPhone14 全新发布 创新科技,苹果,iPhone14,亚信通讯,漳平市环亚通讯设备经营部,6899.00,13.14,7798.00
手机,322454,全新国行iphone14 Pro 全网通,苹果,iPhone14Pro,诚易数码,东莞市常平诚易数码产品经营部,10699.00,17.53,10398.00
手机,332093,线下一年租 全新苹果iPhone 14 plus 全网通5G,苹果,iPhone14Plus,一林租机,汕头市易享租科技有限公司,5529.30,21.96,8017.20
手机,332118,线下一年租 全新苹果iPhone 13 全网通5G,苹果,iPhone13,一林租机,汕头市易享租科技有限公司,4409.30,17.26,6300.00
手机,335060,全新国行 苹果iphone14pro 全网通5G 强力出圈3,苹果,iPhone14Pro,佳韩贸易,龙岩市佳韩贸易有限公司,8899.00,27.39,9999.00
手机,337778,全新国行苹果Apple iPhone 14 Pro Max,苹果,iPhone14ProMax,余杭百脑汇数码,杭州余杭区瓶窑镇百脑汇电子商务商行,9000.00,32.04,11698.00
手机,320898,全新国行未拆封 苹果14 pro,苹果,iPhone14Pro,沛县光骏电子产品经营部,沛县光骏电子产品经营部,10699.00,17.53,10798.00
手机,293200,全新iphone14promax 国行正品 现货速发,苹果,iPhone14ProMax,宁波未十二电子,宁波海曙未十二电子产品商行,13499.00,16.71,11699.00
手机,251523,全新国行苹果 iPhone14 Pro 双卡双待 顺丰邮寄,苹果,iPhone14Pro,宏凯电子通讯产品经营部,新沂市宏凯发电子通讯产品经营部,11199.00,28.48,10398.00
手机,310884,iPhone 14 全新国行 5G全网通手机,苹果,iPhone14,致信商贸,龙岩致信商贸有限公司,6899.00,9.94,7679.00
手机,332096,线下半年租 全新苹果iPhone 14 Pro 全网通5G,苹果,iPhone14Pro,一林租机,汕头市易享租科技有限公司,7489.30,53.57,9643.20
手机,246435,全新国行苹果IPhone14 Pro Max  ,苹果,iPhone14ProMax,天天数码,揭阳市逸龙网络科技有限公司,9899.00,17.25,12148.00
手机,356477,全新国行苹果14 未拆封  非监管.,苹果,iPhone14,大山数码,杭州余杭双霸电子商务工作室,6899.00,21.36,7798.00
手机,249640,全新国行苹果iPhone14Pro全网通5G双卡双待,苹果,iPhone14Pro,宿州多咪网络科技有限公司,宿州多咪网络科技有限公司,12499.00,17.53,10398.00
手机,328486,全新国行未拆封苹果Apple iPhone14 Pro 顺,苹果,iPhone14Pro,速量,淮北市相山区全民租电子商行,10699.00,28.49,10398.70
手机,246196,全新国行iPhone14Pro  5G全网通手机,苹果,iPhone14Pro,德尚贸易,龙岩市德尚贸易有限公司,8899.00,13.14,9999.00
手机,253116,全新国行 iPhone14 5G 顺丰包邮,苹果,iPhone14,租机厅,深圳市深有情科技有限公司,6899.00,9.84,7678.00
手机,333794,全新国行原封iPhone14 赠送壳膜 现货速发 顺丰包邮,苹果,iPhone14,商家精选,广州研趣信息科技有限公司,6899.00,11.91,7379.00
手机,341455,苹果手机14promax全国联保正品官方未激活iphone,苹果,iPhone14ProMax,元周租赁,双流区元周数码产品经营部,6929.30,32.04,11698.00
手机,244204,iPhone 14 Pro 全新原封国行正品 未拆封,苹果,iPhone14Pro,人人租精选商城,河南中原融资租赁有限公司,8899.00,15.74,10348.00
手机,245072,全新国行iPhone14ProMax 5G 顺丰包邮,苹果,iPhone14ProMax,租机厅,深圳市深有情科技有限公司,6929.00,19.72,11698.00
手机,268673,iphone 14 Pro Max  全新原封国行 顺丰包邮,苹果,iPhone14ProMax,人人租精选商城,河南中原融资租赁有限公司,9899.00,19.72,11698.70
手机,301471,全新国行苹果 iPhone14ProMax全网通双卡双待包邮,苹果,iPhone14ProMax,宝隆租赁,衢州宝昌租赁服务有限公司,9899.00,16.98,11699.00
手机,309918,全新国行原封iPhone14Pro 包邮全网通5G 双卡双待,苹果,iPhone14Pro,伟清通讯,漳平市伟清通讯设备经营部,8899.00,28.48,10398.00
手机,335334,全新国行iphone14plus原装未拆封 顺丰包邮,苹果,iPhone14Plus,正凯电讯,嵩明县正凯电讯店,7899.00,9.39,8329.00
手机,351998,全新国行原封iPhone14 赠送壳膜 顺丰包邮寄出,苹果,iPhone14,商家精选,广州研趣信息科技有限公司,6899.00,9.87,7379.00
手机,333743,全新国行iPhone14ProMax 赠送壳膜 现货包邮速发,苹果,iPhone14ProMax,商家精选,广州研趣信息科技有限公司,9899.00,15.35,11249.00
手机,243745,全新国行原封iPhone14Pro 包邮全网通5G 双卡双待,苹果,iPhone14Pro,伟清通讯,漳平市伟清通讯设备经营部,8899.00,29.58,10798.00
手机,306105,全新国行苹果iPhone 14全网通双卡双待5G新款6.1寸,苹果,iPhone14,卓商通讯,龙岩市新罗区卓商日用百货商行,6899.00,21.03,7679.00
手机,2847,苹果6S iPhone6S 工作机 可开发票 量大优惠,苹果,iPhone6S,人人租精选商城,菏泽玖合租赁有限公司,200.00,0.98,750.00
手机,5899,苹果6S iPhone 6S 工作机 可开发票  量大优惠,苹果,iPhone6S,人人租精选商城,惠州市转匠科技有限公司,200.00,0.98,746.00
手机,131331,95新以上 苹果iphone13 国行5G全网通双卡双待,苹果,iPhone13,宇源数码,深圳市宇丰信科技有限公司,4300.00,7.17,5450.00
手机,162624,iPhone SE2 苹果手机 ,苹果,iPhoneSE2,三匠租机,确乎(深圳)科技网络有限责任公司,950.00,3.17,1253.00
手机,194914,9成新6s 32G,苹果,iPhone6S,人人租精选商城,潮州市开发区鼠霸数码店,300.00,1.30,650.00
手机,226403,苹果5S  iPhone 5s 工作机 可开发票  量大优惠,苹果,iPhone5S,人人租精选商城,惠州市转匠科技有限公司,152.00,0.62,387.00
手机,229922,苹果6s  iphone6s 工作机  现货  量大从优,苹果,iPhone6S,人人租精选商城,惠州新创星科技有限公司,196.00,0.98,749.00
手机,237619,免押 苹果6s iPhone 6s 工作机量大优惠 可开发票,苹果,iPhone6S,凯来达数码优品租赁中心,惠州大亚湾凯来达电子产品经营部,450.00,0.79,750.00
手机,241375,苹果6 iPhone6工作机首选可开发票 免押 短租 优惠 ,苹果,iPhone6,人人租精选商城,东莞市熙瑞电子科技有限公司,200.00,0.67,0.00
手机,244591,现货 苹果6s iPhone 6S工作机游戏机量大优惠可短租,苹果,iPhone6S,人人租精选商城,深圳市合众利科技有限公司,299.00,0.81,728.00
手机,244758,95新国行苹果13pro iPhone13 Pro ,苹果,iPhone13Pro,优美租,广东鑫嘉裕科技有限公司,6100.00,9.44,8276.00
手机,248210,95新以上 苹果iphone13promax 国行5G双卡,苹果,iPhone13ProMax,宇源数码,深圳市宇丰信科技有限公司,6200.00,11.09,8350.00
手机,262002,95新国行苹果13 iPhone13 5g双卡双待 全网通,苹果,iPhone13,人人租精选商城,广东鑫嘉裕科技有限公司,4550.00,7.69,6150.00
手机,262312,99新国行iPhone13 租期质保 现货速发,苹果,iPhone13,利鑫飞恒,浏阳市集里利鑫飞恒科技服务部,4700.00,7.94,6350.00
手机,287645,苹果6s iPhone 6s 工作机 量大优惠 可开发票,苹果,iPhone6S,人人租精选商城,广东卡派思科技有限公司,200.00,0.92,536.00
手机,288498,官方自营 9新苹果6s iphone6s手机三网通 量大优惠,苹果,iPhone6S,人人租精选商城,苏州振硕租赁有限公司,300.00,0.76,648.00
手机,288519,精选9新 苹果6 iphone6手机全网通 量大优惠 可短租,苹果,iPhone6,人人租精选商城,苏州振硕租赁有限公司,200.00,0.71,498.00
手机,312849,9新苹果6SP iPhone 6splus工作机,苹果,iPhone6SPlus,人人租精选商城,深圳市龙岗区禹霏通讯设备产品商行,370.00,0.98,467.00
手机,317679,苹果iPhone6S 首选工作机 苹果6s 长期合作免押优惠,苹果,iPhone6S,凯来达数码优品租赁中心,惠州大亚湾凯来达电子产品经营部,450.00,0.74,750.00
手机,318383,95新苹果 iPhone13支持移动联通电信5G双卡双待,苹果,iPhone13,爱锋派官方租赁旗舰店,海南爱锋派信息科技有限公司,4600.00,7.69,6047.00
手机,318502,95新苹果 iPhone13支持移动联通电信5G双卡双待,苹果,iPhone13,找量机租赁旗舰店,深圳市福田区机帮帮数码商行,4600.00,7.53,5290.00
手机,322820,95新国行正品苹果13Pro 非监管机 租期内免费维修,苹果,iPhone13Pro,人人租精选商城,铜山区刘峰科技经营部,6500.00,14.60,8719.00
手机,322854,iPhoneSE2 全网通95新苹果 工作室备用机首选,苹果,iPhoneSE2,人人租精选商城,深圳市罗湖区捷发手机通讯店,1150.00,2.59,1615.00
手机,324087,95新iPhone 13mini 全网通5G手机 顺丰包邮,苹果,iPhone13mini,人人租精选商城,深圳市龙华区盛世数码商行,3100.00,6.98,4760.00
手机,324127,95新iphone SE2苹果专业质检指纹解锁工作机全网通,苹果,iPhoneSE2,人人租精选商城,深圳市龙华区盛世数码商行,1200.00,2.35,1445.00
手机,333663,99新苹果13二手国行顺丰包邮,苹果,iPhone13,中兴科技,昆山市花桥镇妧肌租赁服务中心,4500.00,7.39,6208.00
手机,335579,99新国行iPhone14Plus 赠送壳膜 顺丰包邮寄出,苹果,iPhone14Plus,二手严选商城,广州人人租供应链服务有限公司,5780.00,10.26,7295.00
手机,335586,99新国行iPhone14Pro 赠送壳膜 顺丰包邮寄出,苹果,iPhone14Pro,二手严选商城,广州人人租供应链服务有限公司,6930.00,12.66,9108.00
手机,337031,99新iphone13pro苹果13pro现货秒发,苹果,iPhone13Pro,利鑫飞恒,浏阳市集里利鑫飞恒科技服务部,6500.00,9.37,8450.00
手机,340250,99新苹果13  国行正品 非监管机,苹果,iPhone13,人人租精选商城,铜山区刘峰科技经营部,4700.00,7.98,5954.00
手机,352582,苹果SE2 iPhoneSE2工作机 租金低  A13处理器,苹果,iPhoneSE2,工作机租机找鸿诚,深圳市鸿诚数码科技有限公司,500.00,1.97,999.00
手机,353800,99新苹果iPhone13Pro 租期质保 现货速发 包邮,苹果,iPhone13Pro,二手严选商城,广州人人租供应链服务有限公司,5750.00,10.29,7903.00
手机,353845,95新苹果iPhone13Pro 租期质保 现货速发 包邮,苹果,iPhone13Pro,二手严选商城,广州人人租供应链服务有限公司,5700.00,10.19,7830.00
手机,353897,95新iPhone13ProMax 租期质保 现货速发 包邮,苹果,iPhone13ProMax,二手严选商城,广州人人租供应链服务有限公司,6300.00,11.39,8265.00
手机,353975,99新苹果iPhone13 5G全网通  租期质保 现货速发,苹果,iPhone13,二手严选商城,广州人人租供应链服务有限公司,4350.00,8.19,5728.00
手机,354757,95新苹果iPhone13 5G全网通 租期质保 现货极速发,苹果,iPhone13,二手严选商城,广州人人租供应链服务有限公司,4300.00,8.09,5655.00
手机,353718,95新苹果iPhone13 5G全网通  租期质保 现货速发,苹果,iPhone13,二手严选商城,广州人人租供应链服务有限公司,4300.00,8.09,5655.00
手机,310394, 95新 国行 iPhone13 全网通 5G,苹果,iPhone13,宏翔程景电子经营部,海口琼山区宏翔程景电子经营部,4800.00,7.69,5655.00
手机,252574,二手国行iPhone13苹果全网通双卡双待,苹果,iPhone13,浩翔通讯,高新区浩翔通讯经营部,5800.00,15.67,5720.00
手机,238003,免押 苹果6 iPhone6 6代 工作机 现货 量大有优惠,苹果,iPhone6,凯来达数码优品租赁中心,惠州大亚湾凯来达电子产品经营部,300.00,0.54,420.00
手机,312784,9新国苹果 iPhone 6splus企业工作机 ,苹果,iPhone6SPlus,人人租精选商城,深圳市龙岗区禹霏通讯设备产品商行,300.00,0.98,510.00
手机,318391,95新苹果iPhone13Pro 租期质保 现货速发,苹果,iPhone13Pro,爱锋派官方租赁旗舰店,海南爱锋派信息科技有限公司,6350.00,9.64,8559.00
手机,261759,95新国行苹果13 iPhone13 全网通 5g双卡双待,苹果,iPhone13,人人租精选商城,深圳市酷泰科技有限公司,5000.00,8.84,6601.00
手机,328804,95新苹果iphone SE3 5G全网通 专业质检顺丰包邮,苹果,iPhoneSE3,人人租精选商城,家熙贸易(深圳)有限公司,1700.00,3.80,2720.00
手机,337722,99新二手苹果iphone13双卡双待5G全网通顺丰包邮,苹果,iPhone13,有福优品,三明市有福网络科技有限公司,4700.00,7.98,5954.00
手机,185916,95新国行苹果iPhone13promax全网通 包邮,苹果,iPhone13ProMax,优美租,广东鑫嘉裕科技有限公司,6850.00,11.83,9384.00
手机,278149,95新国行苹果iPhone13  5g 全网通 双卡双待,苹果,iPhone13,优美租,广东鑫嘉裕科技有限公司,4900.00,8.40,6428.00
手机,337910,准新iphone14promax 赠送配件 全国包邮,苹果,iPhone14ProMax,宁波未十二电子,宁波海曙未十二电子产品商行,8000.00,12.48,9923.00
手机,304775,99新国行苹果iPhone13promax 5g双卡双待,苹果,iPhone13ProMax,优美租,广东鑫嘉裕科技有限公司,6900.00,12.27,9458.00
手机,330025,iPhone 6plus 国行三网通 工作机可短租,苹果,iPhone6Plus,时代租机,广东卓熠物业投资有限公司,300.00,1.14,649.00
手机,250101,90新 苹果iPhone6s  国行 工作机器 全网通,苹果,iPhone6S,中恒华启,深圳市中恒华启科技有限公司,400.00,0.74,1100.00
手机,346855,99新 苹果14plus 手机,苹果,iPhone14Plus,李龙通讯设备经营部,永泰县城峰镇李龙通讯产品经营部,6350.00,7.84,7489.00
手机,337908,准新国行iphone14pro 赠送配件 顺丰包邮,苹果,iPhone14Pro,宁波未十二电子,宁波海曙未十二电子产品商行,6950.00,11.54,8573.00
手机,354501,95新 苹果iPhone SE3 5G全网通 单卡单待,苹果,iPhoneSE3,人人租精选商城,深圳市自由通讯设备有限公司,2000.00,3.58,2295.00
手机,238040,99新 苹果IPhone 13ProMax  租期质保 现货,苹果,iPhone13ProMax,宁波未十二电子,宁波海曙未十二电子产品商行,8200.00,12.60,9800.00
手机,268798,99新苹果13mini 国行5G全网通 ,苹果,iPhone13mini,长治县城古韩东路苹果体验店,长治县城古韩东路苹果体验店,3500.00,6.30,4550.00
手机,310414, 99新国行 iPhone13promax 全网通 5G,苹果,iPhone13ProMax,宏翔程景电子经营部,海口琼山区宏翔程景电子经营部,7200.00,11.83,9360.00
手机,301796,99新 苹果iphone14Pro 正品国行5G双卡双待,苹果,iPhone14Pro,宇源数码,深圳市宇丰信科技有限公司,7200.00,11.64,9300.00
手机,328468,99新苹果14ProMax  国行正品 非监管机,苹果,iPhone14ProMax,人人租精选商城,铜山区刘峰科技经营部,7999.00,16.98,10349.00
手机,224047,95新以上 苹果13mini 国行5G全网通 全原装,苹果,iPhone13mini,宇源数码,深圳市宇丰信科技有限公司,3300.00,5.61,4400.00
手机,335592,99新国行iPhone14ProMax 赠送壳膜 顺丰包邮,苹果,iPhone14ProMax,二手严选商城,广州人人租供应链服务有限公司,7980.00,13.56,10558.00
手机,242044,99新iPhone13,苹果,iPhone13,鼠霸科技,潮州市开发区鼠霸数码店,3200.00,12.38,4700.00
手机,293927, 99新苹果iPhone 13 包邮全网通5G 双卡双待热租,苹果,iPhone13,奥力给数码,龙岩奥力给租赁服务有限公司,5080.00,7.35,6376.00
手机,289301,95新国行苹果iPhone13 包邮全网通5G双卡双待,苹果,iPhone13,人人租精选商城,惠州鸿泰莱科技有限公司,5600.00,10.90,6200.00
手机,131265,95新以上 苹果iphone13Pro 国行5G双卡,苹果,iPhone13Pro,宇源数码,深圳市宇丰信科技有限公司,6700.00,9.86,7300.00
